timestamp,rule_id,severity,action,source_ip,uri,signature,blocked
2024-10-15 09:20:30,981173,HIGH,DETECT,203.0.113.45,/dashboard/search,SQL Injection Attempt - OR 1=1,yes
2024-10-15 09:21:15,981318,CRITICAL,BLOCK,203.0.113.45,/dashboard/search,SQL Injection - DROP TABLE,yes
2024-10-15 09:22:00,981257,HIGH,BLOCK,203.0.113.45,/dashboard/search,SQL Injection - UNION SELECT,yes
2024-10-15 09:23:45,981001,MEDIUM,DETECT,203.0.113.45,/dashboard/search,Suspicious SQL Pattern,no
2024-10-15 09:00:23,950107,HIGH,DETECT,203.0.113.45,/verify-account.php,Suspicious Link Pattern,no
2024-10-15 01:30:15,920420,LOW,DETECT,192.168.1.100,/api/v1/portfolio/1000,Multiple Failed Auth,no
2024-10-15 01:30:19,920420,LOW,DETECT,192.168.1.100,/api/v1/portfolio/1004,Multiple Failed Auth,no
2024-10-15 06:47:30,942100,MEDIUM,DETECT,203.0.113.45,/api/v1/portfolio/1529,Rapid Sequential Access,no
2024-10-15 06:47:45,942100,MEDIUM,DETECT,203.0.113.45,/api/v1/portfolio/1534,Rapid Sequential Access,no
2024-10-15 06:47:57,942100,HIGH,DETECT,203.0.113.45,/api/v1/portfolio/1538,Possible Account Enumeration,no
2024-10-15 08:55:00,920430,LOW,DETECT,10.0.1.50,/admin/users/export,Admin Area Access,no
2024-10-15 10:15:30,920100,LOW,DETECT,45.123.89.201,/login,Normal Login Pattern,no
